"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004672","protein kinase activity","4/11","403/5719",0.00992555831265509,5.16038799909768,3.80250950012146,0.00538249079808932,0.0376774355866253,0.0141644494686561,"Solyc06g050280.1/Solyc06g050270.1/Solyc04g075000.1/Solyc06g050290.1",4
"GO:0006468","protein phosphorylation","4/11","403/5719",0.00992555831265509,5.16038799909768,3.80250950012146,0.00538249079808932,0.0376774355866253,0.0141644494686561,"Solyc06g050280.1/Solyc06g050270.1/Solyc04g075000.1/Solyc06g050290.1",4
"GO:0016787","hydrolase activity","2/11","153/5719",0.0130718954248366,6.7961972667855,3.19002221927242,0.03338050890764,0.0662115042222915,0.0248915429407111,"Solyc09g075680.1/Solyc01g108513.1",2
"GO:0004568","chitinase activity","1/11","19/5719",0.0526315789473684,27.3636363636364,5.05267217243053,0.0359747456562348,0.0662115042222915,0.0248915429407111,"Solyc10g055780.1",1
"GO:0006032","chitin catabolic process","1/11","19/5719",0.0526315789473684,27.3636363636364,5.05267217243053,0.0359747456562348,0.0662115042222915,0.0248915429407111,"Solyc10g055780.1",1
"GO:0016831","carboxy-lyase activity","1/11","19/5719",0.0526315789473684,27.3636363636364,5.05267217243053,0.0359747456562348,0.0662115042222915,0.0248915429407111,"Solyc07g054280.1",1
"GO:0016998","cell wall macromolecule catabolic process","1/11","19/5719",0.0526315789473684,27.3636363636364,5.05267217243053,0.0359747456562348,0.0662115042222915,0.0248915429407111,"Solyc10g055780.1",1
"GO:0019752","carboxylic acid metabolic process","1/11","20/5719",0.05,25.9954545454545,4.91533524863045,0.0378351452698809,0.0662115042222915,0.0248915429407111,"Solyc07g054280.1",1
"GO:0005524","ATP binding","3/11","425/5719",0.00705882352941176,3.66994652406417,2.51120111456179,0.042923708301934,0.0667702129141196,0.0251015838023006,"Solyc06g050280.1/Solyc06g050270.1/Solyc06g050290.1",3
"GO:0008146","sulfotransferase activity","1/11","39/5719",0.0256410256410256,13.3310023310023,3.39182120813134,0.0725683390068466,0.101595674609585,0.0381938626351824,"Solyc03g114800.1",1
"GO:0030170","pyridoxal phosphate binding","1/11","75/5719",0.0133333333333333,6.93212121212121,2.26998810522748,0.135270202712172,0.172162076179128,0.0647225850297475,"Solyc07g054280.1",1
"GO:0004252","serine-type endopeptidase activity","1/11","86/5719",0.0116279069767442,6.04545454545455,2.06945546063555,0.153645403163855,0.179252970357831,0.0673883347209892,"Solyc01g087810.2",1
"GO:0006508","proteolysis","1/11","221/5719",0.00452488687782805,2.35252982311806,0.900154495969445,0.352018013873958,0.362323676615906,0.13621190850222,"Solyc01g087810.2",1
"GO:0003824","catalytic activity","1/11","229/5719",0.00436681222707424,2.27034537514887,0.861251151627028,0.362323676615906,0.362323676615906,0.13621190850222,"Solyc03g082960.2",1
